island_id,name,source,source_id,match_method,notes
1021767,Angyi Island,Burma Gazetteer - Syriam District,historical-gazetteer-angyi,local-historical-landmass,"Gazetteer describes Angyi as the island later divided north/south into Twante and Kungyangon and explicitly includes Kawhmu circles."
1002495,Maubin Island,World Bank / historical Burma delta reclamation sources,worldbank-maubin-island,local-historical-landmass,"Historical and engineering sources explicitly refer to the entire Maubin Island."
1002476,Labutta Island,World Bank Paddyland II / delta reclamation sources,worldbank-labutta-island,local-historical-landmass,"World Bank sources explicitly name Labutta Island and distinguish its north/south polders from the whole island."
1002050,Gajaria,Gajaria Upazila local government,https://dae.gajaria.munshiganj.gov.bd/pages/static-pages/6995dea035ce18e1c07af4e8,local-authority-landmass,"Official local source describes Gajaria as a river-enclosed island-like landmass."
1017915,Kalapara,Bangladesh WARPO Inventory of Coastal and Estuarine Islands & Chars,warpo-2002-kalapara,local-authority-landmass,"Government island/char inventory catalogs Kalapara as a coastal/estuarine island unit."
1002527,Cù Lao Hai Sông,Kinh Môn local government,kinh-mon-cu-lao-hai-song,local-historical-landmass,"Kinh Môn local history uses Cù Lao Hai Sông (Two-Rivers Island) for the water-bounded Kinh Môn tract."
1017621,Diviseema,Krishna delta regional geography,diviseema,local-regional-landmass,"Diviseema is the established Krishna delta island region containing Nagayalanka and neighboring mandals."
1002082,Char Meghna,GeoNames / local Raipura geography,geonames-1206629,local-char-name,"Char Meghna coordinate falls essentially on the unresolved Raipura polygon and local sources classify the surrounding physiography as char."
1002595,Wilhelmsburg,Hamburg municipal government,https://www.hamburg.de/leben-in-hamburg/bezirke-hamburg/stadtteile-bezirk-hamburg-mitte/wilhelmsburg-374328,local-authority-landmass,"Hamburg officially describes Wilhelmsburg as an Elbe island and Germany's largest river island."
1001948,Hingalganj,West Bengal / Sundarbans local geography,hingalganj-island,local-regional-landmass,"Local and regional sources explicitly describe Hingalganj as a river-surrounded Sundarbans island."
1017895,Patharpratima Island,Census-backed regional geography,patharpratima-island,local-regional-landmass,"Regional census-backed description states the entire island is called Patharpratima."
1002457,Mawlamyine Island,Myanmar geographical/historical sources,mawlamyinegyun-island,local-historical-landmass,"Mawlamyinegyun literally means Mawlamyine Island; historical geography places the town on Mawlamyine Island."
1002072,Karimpur Char,Bangladesh World Bank WSS / local geography,karimpur-char,local-char-name,"World Bank physiographic table classifies Karimpur as Char; local accounts describe this inhabited Narsingdi tract as a chor/island."
1002483,Thongwa Island,World Bank Paddyland II / delta reclamation sources,worldbank-thongwa-island,local-historical-landmass,"World Bank maps and project documents explicitly identify Thongwa Island in the Maubin-Kyaiklat delta tract."
1018923,Nansan Island,Zhanjiang local government,zhanjiang-nansan-island,local-authority-landmass,"Official Zhanjiang geography gives Nansan Island about 123.4 km2, closely matching the 129.1 km2 USGS polygon."
1013253,Ugborodo,Ugborodo local/regional sources,ugborodo-island,local-historical-landmass,"Local reporting describes Ugborodo as a huge island ('Dry land in the Sea'); the USGS polygon covers the Ugborodo/Ogidigben tract."
1021753,Bandar Imam Khomeini,World Bank port geography,bandar-shahpur-island,local-historical-landmass,"World Bank port report explicitly places former Bandar Shahpur (now Bandar Imam Khomeini) on an island in the Khor Musa tidal flats."
1002541,Da'ao Island,Jiangmen/Xinhui local government,xinhui-daao-island,local-authority-landmass,"Local government describes Da'ao as a mid-river island; published area about 42 km2 matches USGS 42.57 km2."
1002542,Chaolian Island,Jiangmen municipal government,jiangmen-chaolian-island,local-authority-landmass,"Jiangmen government identifies Chaolian as a Xi River island with area 12.68 km2, matching USGS 13.22 km2."
1018897,Nam Thái Bình,Vietnam hydraulic planning sources,nam-thai-binh-hydraulic-region,local-regional-landmass,"Hydraulic planning defines Nam Thái Bình as the tract between the Red River, Trà Lý and the sea; area about 667 km2 vs USGS 628 km2."
1021741,Mathbaria,Banglapedia / Pirojpur local geography,mathbaria-region,local-geographic-landmass,"Established local name for the Baleshwar-Bishkhali water-bounded tract centered on Mathbaria."
1001967,Betagi,Banglapedia / Barguna local geography,betagi-region,local-geographic-landmass,"Established local geographic name centered on Betagi in the Bishkhali delta tract."
1001975,Jhalokathi,Bangladesh local geography,jhalokathi-region,local-geographic-landmass,"Established local geographic name for the Jhalokathi-centered water-bounded tract."
1017977,Amtali,Bangladesh local geography,amtali-region,local-geographic-landmass,"Established local name for the coastal Amtali tract bounded by major tidal rivers and channels."
1002520,Hải Hậu–Giao Thủy,Vietnam provincial planning geography,hai-hau-giao-thuy-region,local-geographic-landmass,"Established interdistrict geographic/planning name for the coastal tract between the Ninh Cơ/Red River distributaries and sea."
1001940,Dumki,Bangladesh local geography,dumki-region,local-geographic-landmass,"Established local name for the water-bounded Dumki/Patuakhali tract containing the polygon center."
1017823,Minbya,Myanmar local geography,minbya-region,local-geographic-landmass,"Established local geographic name for the Lay Myo delta tract centered on Minbya."
1001960,Bakerganj,Bangladesh local geography,bakerganj-region,local-geographic-landmass,"Established local name for the river-bounded Bakerganj tract."
1018901,Tiên Lãng,Hải Phòng local geography,tien-lang-region,local-geographic-landmass,"Established local name for the Tiên Lãng tract between the Thái Bình and Văn Úc river systems."
1002481,Wakema,Myanmar local geography,wakema-region,local-geographic-landmass,"Established local name for the Wakema delta tract containing Wakema Township communities."
1002001,Muladi,Bangladesh local geography,muladi-region,local-geographic-landmass,"Established local name used for this inhabited Muladi river-island tract."
1001995,Mehendiganj,Bangladesh local geography,mehendiganj-region,local-geographic-landmass,"Established local name for the Mehendiganj island/delta tract."
1001970,Batiaghata,Bangladesh local geography,batiaghata-region,local-geographic-landmass,"Established local name for the Batiaghata river-bounded tract."
1002487,Mawlamyinegyun,Myanmar local geography,mawlamyinegyun-region,local-geographic-landmass,"Established local name for the larger Mawlamyinegyun delta tract."
1001959,Dacope,Bangladesh local geography,dacope-region,local-geographic-landmass,"Established local name for the Dacope river-bounded tract."
1017816,Pauktaw,Myanmar local geography,pauktaw-region,local-geographic-landmass,"Established local name for the Pauktaw island-rich delta tract represented by this polygon."
1002472,Phú Vang,Huế local geography,phu-vang-region,local-geographic-landmass,"Established local name for the coastal-lagoon land tract in Phú Vang."
1001982,Gobindapur,Bangladesh WARPO Inventory of Coastal and Estuarine Islands & Chars,warpo-2002-gobindapur,local-authority-landmass,"Government inventory names Gobindapur at essentially the polygon center within the Mehendiganj island complex."
1002489,Shwelaung Island,Ayeyarwady Region Government,ayeyarwady-shwelaung-island,local-authority-landmass,"Regional government explicitly refers to Shwelaung island in Wakema Township."
1002442,Daunggyi Island,World Bank / JICA Ayeyarwady delta reclamation sources,daunggyi-island,local-historical-landmass,"Engineering sources explicitly name Daunggyi Island in Bogale and its component polders."
1001964,Char Charkimara,Bangladesh WARPO Inventory of Coastal and Estuarine Islands & Chars,warpo-2002-char-charkimara,local-authority-landmass,"Government inventory names Char Charkimara in the corresponding Bhola-Barisal river tract."
1002473,Labutta Township,Myanmar local geography,labutta-township,local-geographic-landmass,"Established local geographic name for this separate water-bounded tract within Labutta Township; no invented directional island label."
1002057,Harirampur,Bangladesh local geography,harirampur-region,local-geographic-landmass,"Established local name for the Padma/Jamuna river-bounded Harirampur tract."
1002002,Hizla Gurabdi,Bangladesh WARPO Inventory of Coastal and Estuarine Islands & Chars,warpo-2002-hizla-gurabdi,local-authority-landmass,"Government inventory explicitly names Hizla Gurabdi in this Hizla river-island area."
1002058,Bishnandi Char,GeoNames / local Araihazar geography,bishnandi-char,local-char-name,"Bishnandi Char is the established local char name in the polygon's Araihazar/Bishnandi tract."
1002113,Daulatpur,Bangladesh local geography,daulatpur-region,local-geographic-landmass,"Established local name for the Daulatpur river-bounded tract in Manikganj."
1017753,Myebon,Myanmar local geography,myebon-region,local-geographic-landmass,"Established local name for the Myebon coastal/delta tract represented by the polygon."
1002144,Shahjadpur,Bangladesh local geography,shahjadpur-region,local-geographic-landmass,"Established local name for the Jamuna river-bounded Shahjadpur tract."
1001981,Babuganj,Bangladesh local geography,babuganj-region,local-geographic-landmass,"Established local name for the Babuganj river-bounded tract."
1001897,Kuakata,Bangladesh local coastal geography,kuakata-region,local-geographic-landmass,"Established local name for the southwestern Kalapara coastal landmass centered nearest the Kuakata tract."
1017820,Nantha Island,Rakhine local/conservation sources,nantha-island-rakhine,local-island-name,"Local conservation and scientific sources explicitly identify Nantha Island in the Rathedaung/Sittwe coastal area."
1018865,Labutta District,Myanmar local geography,labutta-district,local-geographic-landmass,"Established local geographic name centered essentially on the mapped Labutta District locality; no invented directional island label."
1017980,Sonar Char,NGA GNS / Bangladesh local geography,sonar-char-bhola,local-char-name,"Sonar Char is the closest established named char in the Monpura/Bhola polygon and local char complex."
1017813,Ponnagyun,Myanmar local geography,ponnagyun-region,local-geographic-landmass,"Established local name for the Ponnagyun river-dissected tract represented by the polygon."
